Matthijs de Ligt,D,20,240000,Juventus FC,Netherlands
Danilo,D,28,85000,Juventus FC,Brazil
Leonardo Bonucci,D,32,180000,Juventus FC,Italy
Alex Sandro,D,28,55000,Juventus FC,Brazil
Douglas Costa,F,29,190000,Juventus FC,Brazil
Blaise Matuidi,M,32,130000,Juventus FC,France
Adrien Rabiot,M,24,225000,Juventus FC,France
Emre Can,M,25,160000,Juventus FC,Germany
Miralem Pjanic,M,29,210000,Juventus FC,Bosnia and Herzegovina
Aaron Ramsey,M,28,225000,Juventus FC,Wales
Sami Khedira,M,32,130000,Juventus FC,Germany
Paulo Dybala,F,24,225000,Juventus FC,Argentina
Gonzalo Higuain,F,31,240000,Juventus FC,Argentina
Gianluigi Donnarumma,GK,20,215000,AC Milan,Italy
Lucas Biglia,D,33,130000,AC Milan,Argentina
Pepe Reina,GK,37,110000,AC Milan,Spain
Suso,F,25,110000,AC Milan,Italy
Ante Rebic,F,25,110000,AC Milan,Croatia
Hakan Calhanoglu,M,25,100000,AC Milan,Turkey
Franck Kessie,M,22,80000,AC Milan,Ivory Coast
Davide Calabria,D,22,70000,AC Milan,Italy
Krzysztof Piatek,F,24,65000,AC Milan,Poland
Rafael Leao,F,20,50000,AC Milan,Portugal
